path,genres
1062722.jpg,"[0, 1, 2]"
1054867.jpg,"[3, 4, 5]"
1116465.jpg,"[3, 6, 2]"
1084222.jpg,"[3, 6, 1]"
1128650.jpg,"[3, 0, 5, 4]"
1242898.jpg,"[3, 7, 6]"
1363123.jpg,"[3, 8]"
1248226.jpg,"[3, 8, 9]"
755898.jpg,"[7, 4]"
967941.jpg,"[10, 2, 6]"
1426968.jpg,"[3, 5, 4]"
1296504.jpg,"[3, 4, 5]"
1539104.jpg,"[11, 3]"
425274.jpg,"[4, 5, 12]"
1311031.jpg,"[11, 3, 2, 4]"
7451.jpg,"[3, 6, 4, 5, 0]"
1197137.jpg,"[1, 4]"
1429738.jpg,"[5, 3, 0]"
1468417.jpg,"[1, 4]"
1214140.jpg,"[1, 2, 3, 4]"
1026821.jpg,"[11, 2, 3, 6]"
1084242.jpg,"[11, 9, 8, 6, 12]"
937941.jpg,"[1, 12]"
297802.jpg,"[3, 6, 2]"
1218925.jpg,"[11, 3, 10, 2]"
1134278.jpg,"[1, 4]"
1280518.jpg,[1]
803796.jpg,"[2, 13, 8, 11]"
1117857.jpg,"[11, 9, 8, 6, 2]"
1161617.jpg,"[3, 8]"
1265063.jpg,[0]
1025527.jpg,"[4, 3]"
1038392.jpg,[1]
1242419.jpg,"[8, 0, 5]"
617126.jpg,"[7, 6, 3]"
1511789.jpg,"[6, 3, 1]"
402431.jpg,"[0, 10, 2]"
798645.jpg,"[3, 4, 7]"
1241983.jpg,[0]
1425122.jpg,"[8, 13]"
575265.jpg,"[3, 4]"
1214130.jpg,"[11, 6, 9, 8]"
1096563.jpg,"[5, 3]"
1215106.jpg,"[8, 1, 4]"
507244.jpg,"[7, 3, 8]"
1280450.jpg,"[4, 3, 6]"
1316147.jpg,"[11, 6, 8]"
1229910.jpg,"[1, 4, 0]"
1234821.jpg,"[7, 6, 3]"
1061474.jpg,"[7, 6, 3]"
861451.jpg,"[3, 0, 4]"
1323475.jpg,"[10, 8]"
1305717.jpg,"[3, 4]"
1299209.jpg,[0]
30471.jpg,"[3, 8, 7]"
249616.jpg,[14]
1156594.jpg,"[10, 0]"
1160360.jpg,"[0, 4, 8]"
639988.jpg,"[5, 4, 8]"
106.jpg,"[7, 3, 6, 4]"
1310672.jpg,"[11, 3, 6, 8]"
1246049.jpg,"[1, 2, 10]"
911430.jpg,"[3, 0]"
338969.jpg,"[3, 8, 7]"
1072699.jpg,"[3, 5, 4]"
1081208.jpg,"[1, 4, 12]"
1010581.jpg,"[0, 10, 4]"
793387.jpg,"[3, 2, 1, 4]"
24428.jpg,"[7, 3, 6]"
1257009.jpg,"[3, 1, 15]"
1007734.jpg,"[3, 4]"
1403735.jpg,"[8, 10]"
1548092.jpg,[0]
269149.jpg,"[11, 6, 9, 8]"
1284120.jpg,"[1, 8, 2, 0]"
1269021.jpg,"[1, 4]"
1235746.jpg,[4]
1087192.jpg,"[2, 9, 3, 6]"
1401318.jpg,"[10, 8]"
726703.jpg,[8]
1175942.jpg,"[9, 8, 5, 6, 11]"
157336.jpg,"[6, 0, 7]"
604079.jpg,"[4, 1, 7]"
83533.jpg,"[7, 6, 2]"
1029575.jpg,"[3, 8, 9]"
145341.jpg,"[8, 16]"
1010756.jpg,"[1, 4]"
1561969.jpg,[1]
533533.jpg,"[7, 6, 3]"
559969.jpg,"[5, 0, 4]"
541671.jpg,"[3, 4, 5]"
1186350.jpg,"[3, 5, 4]"
552524.jpg,"[9, 7, 8, 6]"
1012582.jpg,"[12, 4, 1]"
980477.jpg,"[11, 2, 6, 3]"
1327862.jpg,"[10, 0]"
1009640.jpg,"[15, 4, 3]"
1035259.jpg,"[3, 8, 5]"
941109.jpg,[5]
1362315.jpg,[4]
372058.jpg,"[11, 10, 0]"
574475.jpg,"[1, 12]"
1114967.jpg,"[8, 2]"
1272166.jpg,"[5, 0]"
1340828.jpg,"[8, 10, 0]"
1328913.jpg,"[8, 9]"
1022789.jpg,"[11, 6, 8, 9]"
1086910.jpg,"[3, 6]"
75656.jpg,"[4, 5]"
533535.jpg,"[3, 8, 7]"
756999.jpg,"[1, 4]"
1078605.jpg,"[1, 12]"
278.jpg,"[0, 5]"
950387.jpg,"[9, 2, 8, 6, 3]"
1519168.jpg,"[1, 4, 5]"
56362.jpg,"[7, 4, 0, 12, 11, 1]"
1304434.jpg,"[11, 6, 2, 8]"
1109086.jpg,"[3, 6, 4]"
474350.jpg,"[1, 4]"
1267319.jpg,"[3, 5, 4]"
1262299.jpg,"[17, 16]"
1107216.jpg,"[11, 8, 6, 4]"
76600.jpg,"[3, 6, 7]"
1022787.jpg,"[9, 8, 6, 11, 7]"
1241982.jpg,"[9, 8, 6, 11, 2]"
1223601.jpg,"[3, 15]"
671.jpg,"[6, 2]"
673.jpg,"[6, 2]"
1280282.jpg,"[9, 8, 6, 11]"
1376434.jpg,"[11, 3, 7, 4]"
950396.jpg,"[10, 7, 4]"
1135303.jpg,[0]
1125257.jpg,"[8, 2, 9]"
1119878.jpg,"[3, 4, 0]"
1470086.jpg,"[0, 10]"
1328803.jpg,"[3, 15, 4, 16]"
1197306.jpg,"[3, 5, 4]"
1301844.jpg,[0]
986206.jpg,"[3, 1, 10]"
701387.jpg,"[7, 5, 4]"
291805.jpg,"[4, 5]"
210577.jpg,"[12, 4, 0]"
1266990.jpg,[0]
1071585.jpg,"[3, 7, 4]"
299536.jpg,"[6, 3, 7]"
674.jpg,"[6, 2]"
62201.jpg,[3]
22.jpg,"[6, 2, 3]"
1496735.jpg,"[11, 13]"
329724.jpg,[0]
920708.jpg,"[6, 3, 7, 2]"
111983.jpg,"[3, 0, 4]"
1380998.jpg,"[1, 4]"
2105.jpg,"[8, 10]"
169.jpg,"[7, 3, 4]"
597.jpg,"[0, 10]"
2300.jpg,"[8, 11, 9, 7]"
346364.jpg,"[1, 4]"
19995.jpg,"[3, 6, 2, 7]"
1357886.jpg,[14]
26674.jpg,"[4, 10]"
238.jpg,"[0, 5]"
1330421.jpg,"[1, 4, 12]"
1202863.jpg,"[1, 12, 4]"
672.jpg,"[6, 2]"
1549517.jpg,"[0, 10]"
866398.jpg,"[3, 5, 4]"
244786.jpg,"[0, 13]"
45807.jpg,"[8, 10]"
939243.jpg,"[3, 7, 8, 9]"
120.jpg,"[6, 2, 3]"
1236470.jpg,"[0, 12, 4]"
1497036.jpg,"[11, 9]"
1198426.jpg,"[11, 9]"
1002158.jpg,"[4, 12]"
1228246.jpg,"[1, 4, 3]"
845781.jpg,"[3, 8, 2]"
1184918.jpg,"[11, 7, 9, 6, 0]"
27205.jpg,"[3, 7, 6]"
519182.jpg,"[9, 8, 11, 7]"
954388.jpg,"[4, 1, 12, 0]"
615453.jpg,"[11, 2, 6]"
1382406.jpg,"[3, 5, 4]"
8871.jpg,"[9, 8, 2]"
12153.jpg,"[8, 5]"
480681.jpg,[0]
564.jpg,"[6, 3, 2]"
508422.jpg,"[11, 6, 8, 2]"
1169789.jpg,"[8, 0]"
986056.jpg,"[3, 7, 6]"
106646.jpg,"[5, 0, 8]"
1233413.jpg,"[1, 3, 4]"
1086260.jpg,"[1, 7, 4]"
1191666.jpg,[8]
772.jpg,"[8, 9, 6]"
512198.jpg,"[1, 4]"
505953.jpg,"[0, 6, 9]"
346910.jpg,"[7, 3, 4]"
502356.jpg,"[9, 8, 6, 11, 2]"
14836.jpg,"[11, 9, 2]"
39176.jpg,[1]
354912.jpg,"[9, 11, 13, 6]"
1339772.jpg,"[1, 4]"
155.jpg,"[0, 3, 5, 4]"
808.jpg,"[11, 8, 2, 6, 9]"
766507.jpg,"[4, 3, 7]"
1290159.jpg,[4]
760329.jpg,"[16, 0]"
1156593.jpg,"[0, 10]"
713711.jpg,"[0, 4]"
1446358.jpg,"[10, 8]"
1214931.jpg,"[16, 0, 4, 15]"
1108427.jpg,"[9, 2, 8, 6]"
1363282.jpg,"[17, 5]"
1011477.jpg,"[3, 6, 0]"
1469141.jpg,[0]
417936.jpg,"[8, 10, 18]"
12444.jpg,"[6, 2]"
513224.jpg,"[1, 4]"
872585.jpg,"[0, 16]"
634649.jpg,"[3, 6, 7]"
547116.jpg,"[4, 14]"
1241752.jpg,[0]
1169210.jpg,"[1, 4, 5, 12]"
8966.jpg,"[2, 0, 10]"
122.jpg,"[6, 2, 3]"
933260.jpg,"[0, 1, 7]"
198663.jpg,"[3, 12, 7, 4]"
1373276.jpg,[1]
541099.jpg,"[8, 1]"
1306525.jpg,"[1, 4]"
56379.jpg,[8]
1241470.jpg,"[7, 3, 1]"
611639.jpg,"[8, 1, 7]"
13494.jpg,"[6, 3, 2]"
254049.jpg,[3]
936108.jpg,"[11, 9, 2]"
1219158.jpg,"[10, 0]"
411.jpg,"[6, 9, 2]"
1468057.jpg,"[5, 3]"
1232449.jpg,"[0, 10]"
1053008.jpg,[3]
286407.jpg,[17]
81467.jpg,[0]
829557.jpg,"[10, 0]"
569094.jpg,"[11, 3, 6, 7]"
762509.jpg,"[6, 9, 11]"
438631.jpg,"[7, 6]"
1053630.jpg,[0]
479366.jpg,[4]
823219.jpg,"[11, 6, 2, 9]"
660001.jpg,[1]
767.jpg,"[6, 2]"
58.jpg,"[6, 2, 3]"
1226863.jpg,"[9, 2, 8, 6, 11]"
603.jpg,"[3, 7]"
749170.jpg,"[3, 4, 8]"
680.jpg,"[4, 5, 8]"
1226863.jpg,"[9, 2, 8, 6, 11]"
603.jpg,"[3, 7]"
680.jpg,"[4, 5, 8]"
1267905.jpg,"[8, 0, 10]"
1337636.jpg,"[13, 16]"
854.jpg,"[10, 8, 5, 2]"
55107.jpg,"[0, 10]"
793511.jpg,[8]
1388451.jpg,"[3, 5, 4]"
1151334.jpg,"[4, 3, 8]"
912649.jpg,"[3, 7, 6]"
713711.jpg,"[0, 4]"
644090.jpg,"[10, 8]"
1580234.jpg,[0]
245706.jpg,"[5, 0, 16]"
1242501.jpg,"[3, 5, 4]"
675.jpg,"[6, 2]"
840326.jpg,"[3, 15]"
417504.jpg,[17]
550.jpg,"[0, 4]"
550.jpg,"[0, 4]"
656908.jpg,"[3, 0, 2]"
121.jpg,"[6, 2, 3]"
1478178.jpg,[0]
652.jpg,"[15, 3, 16]"
507089.jpg,"[1, 4]"
346698.jpg,"[8, 6]"
1417.jpg,"[2, 0, 15]"
862.jpg,"[9, 8, 11, 6]"
387824.jpg,[0]
13461.jpg,[0]
793511.jpg,[8]
496243.jpg,"[8, 4, 0]"
792307.jpg,"[7, 10, 8]"
615457.jpg,"[3, 4]"
430161.jpg,"[10, 0]"
1100988.jpg,"[1, 4, 7]"
818659.jpg,[8]
37265.jpg,"[8, 0]"
414906.jpg,"[5, 12, 4]"
12445.jpg,"[6, 2]"
957119.jpg,"[8, 10]"
1064213.jpg,"[0, 8, 10]"
216015.jpg,"[0, 10, 4]"
1380983.jpg,"[18, 10, 8]"
802443.jpg,"[4, 0]"
488968.jpg,"[11, 0, 16]"
163661.jpg,[0]
1865.jpg,"[6, 3, 2]"
66245.jpg,"[3, 0, 8]"
417504.jpg,[17]
285.jpg,"[6, 2, 3]"
385687.jpg,"[3, 5, 4]"
549599.jpg,[17]
1452176.jpg,[1]
1337636.jpg,"[13, 16]"
1411805.jpg,"[17, 16]"
